Loan Data Domain,Business Field Name,RFC Source Table.Column,Src Datatype,Src Sample Value,MISMO Container / XPath,MISMO Ver,Encompass Field ID,Encompass Field Description,Transform / Business Rule,Discovery / Lineage Source,Status,Notes / Open Questions
Property,Purchase Price / Sales Price,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../SALES_CONTRACTS/SALES_CONTRACT/SalesContractAmount,3.4,136 / 356,Purchase Price (confirm field),Purchase only. Null on refi.,DB schema + UCD XML,Unmapped,Confirm Encompass ID for sales price
Loan Terms,Base Loan Amount,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOANS/LOAN/TERMS_OF_LOAN/BaseLoanAmount,3.4,1109 / 2,Base Loan Amount (confirm),Distinguish base vs total (financed MI/funding fee).,DB schema + ULDD XML,Unmapped,Base vs total loan amount is a classic mismatch
Loan Terms,Total Loan Amount,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/LOAN_DETAIL/TotalLoanAmount,3.4,1109,Total Loan Amount,Base + financed fees. Reconcile against base.,DB schema + ULDD XML,Unmapped,
Loan Terms,Note Rate,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/TERMS_OF_LOAN/NoteRatePercent,3.4,3,Note Rate,"Store as percent (e.g. 6.875), confirm decimal vs basis-pt.",DB schema + ULDD XML,Unmapped,
Loan Terms,Loan Term (months),<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/MATURITY/MATURITY_RULE/LoanMaturityPeriodCount,3.4,4,Loan Term / Due (months),Confirm months vs years in source.,DB schema + ULDD XML,Unmapped,
Loan Terms,Lien Position,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/LOAN_DETAIL/LienPriorityType,3.4,1811,Lien Position,Enum: FirstLien / SubordinateLien. See Enum tab.,DB schema,Unmapped,
Loan Terms,Loan Type,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/TERMS_OF_LOAN/MortgageType,3.4,1172,Loan Type,Enum: Conventional/FHA/VA/USDA. See Enum tab.,DB schema + ULDD XML,Unmapped,
Loan Terms,Loan Purpose,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/LOAN_DETAIL/LoanPurposeType,3.4,19,Loan Purpose,Enum: Purchase / Refinance / etc. See Enum tab.,DB schema + URLA,Unmapped,
Loan Terms,Amortization Type,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/AMORTIZATION/AMORTIZATION_RULE/AmortizationType,3.4,608,Amortization Type,Enum: Fixed / ARM. ARM adds margin/index/caps rows.,DB schema + ULDD XML,Unmapped,ARM loans need full ARM sub-mapping
Dates,Application Date,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/APPLICATION/ApplicationReceivedDate,3.4,745,Application Date,Confirm timezone / date-only.,DB schema,Unmapped,
Dates,Closing / Note Date,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../EXECUTION/ExecutionDate (Note),3.4,748,Closing Date,Closed loans only.,DB schema + UCD XML,Unmapped,
Income,Total Monthly Income (qualifying),<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTY/.../CURRENT_INCOME/CURRENT_INCOME_ITEM/CurrentIncomeMonthlyTotalAmount,3.4,736 (CMI),Total Monthly Income,Sum income items; reconcile to AUS qualifying income.,DB schema + DU casefile,Unmapped,Income decomposition is high-risk; validate sums
Underwriting,DTI Ratio (back-end),<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../LOAN/QUALIFICATION/TotalDebtExpenseRatioPercent,3.4,742,Total DTI,Recompute vs store-and-carry decision needed.,DB schema + DU findings,Unmapped,
Underwriting,Credit Score (representative),<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,.../PARTY/.../CREDIT_SCORES/CREDIT_SCORE/CreditScoreValue,3.4,65 (varies),Representative Credit Score,Map rep-score selection logic (mid/lower-of).,DB schema + credit file,Unmapped,Define rep-score rule explicitly
Servicing,Servicing Loan / Investor IDs,<TBD - from schema>,<TBD - from schema>,<TBD - from schema>,iLAD: .../LOAN/LOAN_IDENTIFIERS/LOAN_IDENTIFIER,3.5,<svc fields>,Investor/Servicer loan IDs,MISMO 3.5 iLAD for in-house servicing boarding.,DB schema + servicing boarding file,Unmapped,Reliance services in-house; 3.5 boarding handoff
